,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
107,3,4096,512,384,0.25,5,0 days 00:00:00.070050,0 days 00:00:42.329858,91.0,90.6,60
108,3,4096,1024,256,0.75,2,0 days 00:00:00.076204,0 days 00:00:24.763765,81.4,81.8,32
109,3,4096,1024,256,0.75,3,0 days 00:00:00.076204,0 days 00:00:50.589075,88.8,88.0,56
110,3,4096,1024,256,0.75,5,0 days 00:00:00.076204,0 days 00:00:47.801130,91.0,90.6,61
111,3,4096,1024,512,0.5,2,0 days 00:00:00.067414,0 days 00:00:21.395539,83.4,82.4,30
112,3,4096,1024,512,0.5,3,0 days 00:00:00.067414,0 days 00:00:41.684777,90.2,89.6,48
113,3,4096,1024,512,0.5,5,0 days 00:00:00.067414,0 days 00:00:46.575275,93.4,93.6,60
114,3,4096,1024,768,0.25,2,0 days 00:00:00.065044,0 days 00:00:24.054002,86.2,85.4,29
115,3,4096,1024,768,0.25,3,0 days 00:00:00.065044,0 days 00:00:58.790016,91.0,91.0,65
116,3,4096,1024,768,0.25,5,0 days 00:00:00.065044,0 days 00:00:54.094354,93.4,93.4,71
117,3,4096,2048,512,0.75,2,0 days 00:00:00.067066,0 days 00:00:29.640217,86.0,85.2,32
118,3,4096,2048,512,0.75,3,0 days 00:00:00.067066,0 days 00:01:01.706942,90.6,90.2,70
119,3,4096,2048,512,0.75,5,0 days 00:00:00.067066,0 days 00:01:01.494463,95.0,95.0,75
120,3,4096,2048,1024,0.5,2,0 days 00:00:00.063131,0 days 00:00:32.246275,88.2,87.2,38
121,3,4096,2048,1024,0.5,3,0 days 00:00:00.063131,0 days 00:01:22.994794,94.2,94.2,80
122,3,4096,2048,1024,0.5,5,0 days 00:00:00.063131,0 days 00:01:15.264923,95.6,95.8,79
123,3,4096,2048,1536,0.25,2,0 days 00:00:00.061771,0 days 00:00:46.926806,87.0,86.6,59
124,3,4096,2048,1536,0.25,3,0 days 00:00:00.061771,0 days 00:01:22.856882,95.8,95.8,80
125,3,4096,2048,1536,0.25,5,0 days 00:00:00.061771,0 days 00:01:14.208039,96.4,96.4,71
126,3,4096,4096,1024,0.75,2,0 days 00:00:00.062972,0 days 00:00:39.678947,87.4,86.8,46
127,3,4096,4096,1024,0.75,3,0 days 00:00:00.062972,0 days 00:01:22.862392,94.6,94.6,80
128,3,4096,4096,1024,0.75,5,0 days 00:00:00.062972,0 days 00:01:24.705100,96.4,96.4,79
129,3,4096,4096,2048,0.5,2,0 days 00:00:00.061278,0 days 00:00:58.888140,88.0,88.0,68
130,3,4096,4096,2048,0.5,3,0 days 00:00:00.061278,0 days 00:01:40.769185,96.8,97.0,80
131,3,4096,4096,2048,0.5,5,0 days 00:00:00.061278,0 days 00:01:18.383772,95.0,95.0,77
132,3,4096,4096,3072,0.25,2,0 days 00:00:00.058995,0 days 00:00:57.426804,88.2,87.8,59
133,3,4096,4096,3072,0.25,3,0 days 00:00:00.058995,0 days 00:01:36.594520,94.4,94.4,76
134,3,4096,4096,3072,0.25,5,0 days 00:00:00.058995,0 days 00:01:03.675778,94.6,94.2,67
135,6,256,256,64,0.75,2,0 days 00:00:00.063310,0 days 00:01:10.151063,85.2,85.2,67
136,6,256,256,64,0.75,3,0 days 00:00:00.063310,0 days 00:01:09.479370,86.8,86.6,63
137,6,256,256,64,0.75,5,0 days 00:00:00.063310,0 days 00:00:33.509908,67.8,76.6,42
138,6,256,256,128,0.5,2,0 days 00:00:00.060495,0 days 00:00:46.471367,51.8,72.6,42
139,6,256,256,128,0.5,3,0 days 00:00:00.060495,0 days 00:00:57.141837,85.8,84.2,51
140,6,256,256,128,0.5,5,0 days 00:00:00.060495,0 days 00:00:42.790933,76.0,81.4,51
141,6,256,256,192,0.25,2,0 days 00:00:00.058437,0 days 00:00:57.379931,71.2,80.2,58
142,6,256,256,192,0.25,3,0 days 00:00:00.058437,0 days 00:00:53.403137,85.6,84.4,49
143,6,256,256,192,0.25,5,0 days 00:00:00.058437,0 days 00:00:51.628906,81.4,83.8,55
144,6,512,256,64,0.75,2,0 days 00:00:00.067849,0 days 00:00:44.235238,67.2,76.4,43
145,6,512,256,64,0.75,3,0 days 00:00:00.067849,0 days 00:00:55.204979,81.0,84.0,50
146,6,512,256,64,0.75,5,0 days 00:00:00.067849,0 days 00:00:28.015471,68.4,78.6,33
147,6,512,256,128,0.5,2,0 days 00:00:00.063612,0 days 00:00:53.562645,86.0,86.6,48
148,6,512,256,128,0.5,3,0 days 00:00:00.063612,0 days 00:00:38.613578,84.2,84.0,42
149,6,512,256,128,0.5,5,0 days 00:00:00.063612,0 days 00:00:33.387119,86.6,87.0,33
150,6,512,256,192,0.25,2,0 days 00:00:00.061234,0 days 00:00:48.663693,70.2,80.0,47
151,6,512,256,192,0.25,3,0 days 00:00:00.061234,0 days 00:00:50.599034,88.0,87.6,44
152,6,512,256,192,0.25,5,0 days 00:00:00.061234,0 days 00:00:41.359295,88.6,88.4,41
153,6,512,512,128,0.75,2,0 days 00:00:00.059005,0 days 00:00:55.244250,87.4,87.0,53
154,6,512,512,128,0.75,3,0 days 00:00:00.059005,0 days 00:00:46.453084,87.2,87.8,50
155,6,512,512,128,0.75,5,0 days 00:00:00.059005,0 days 00:00:38.730767,89.2,89.2,39
156,6,512,512,256,0.5,2,0 days 00:00:00.061000,0 days 00:00:51.767908,88.8,88.0,50
157,6,512,512,256,0.5,3,0 days 00:00:00.061000,0 days 00:01:05.999709,89.2,89.0,58
158,6,512,512,256,0.5,5,0 days 00:00:00.061000,0 days 00:00:23.121679,78.8,83.0,24
159,6,512,512,384,0.25,2,0 days 00:00:00.059621,0 days 00:00:46.491213,84.8,86.0,42
160,6,512,512,384,0.25,3,0 days 00:00:00.059621,0 days 00:00:44.868533,85.0,85.2,42
161,6,512,512,384,0.25,5,0 days 00:00:00.059621,0 days 00:00:49.296953,89.6,89.2,46
