,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
80,3,2048,1024,768,0.25,5,0 days 00:00:00.059357,0 days 00:00:33.148786,94.0,94.0,62
81,3,2048,2048,512,0.75,2,0 days 00:00:00.060035,0 days 00:00:25.079581,89.0,88.0,35
82,3,2048,2048,512,0.75,3,0 days 00:00:00.060035,0 days 00:01:11.173413,92.0,92.0,80
83,3,2048,2048,512,0.75,5,0 days 00:00:00.060035,0 days 00:00:52.311220,96.0,96.0,80
84,3,2048,2048,1024,0.5,2,0 days 00:00:00.058638,0 days 00:00:12.616247,88.0,87.0,21
85,3,2048,2048,1024,0.5,3,0 days 00:00:00.058638,0 days 00:01:14.830031,93.0,93.0,80
86,3,2048,2048,1024,0.5,5,0 days 00:00:00.058638,0 days 00:01:11.020377,97.0,97.0,80
87,3,2048,2048,1536,0.25,2,0 days 00:00:00.058642,0 days 00:01:14.960632,89.0,88.0,80
88,3,2048,2048,1536,0.25,3,0 days 00:00:00.058642,0 days 00:01:13.657497,95.0,95.0,74
89,3,2048,2048,1536,0.25,5,0 days 00:00:00.058642,0 days 00:01:09.166037,98.0,98.0,80
90,3,4096,256,64,0.75,2,0 days 00:00:00.115346,0 days 00:00:32.386443,86.0,85.0,39
91,3,4096,256,64,0.75,3,0 days 00:00:00.115346,0 days 00:00:22.884659,88.0,87.0,30
92,3,4096,256,64,0.75,5,0 days 00:00:00.115346,0 days 00:00:35.168207,89.0,88.0,50
93,3,4096,256,128,0.5,2,0 days 00:00:00.089333,0 days 00:00:44.152893,88.0,88.0,38
94,3,4096,256,128,0.5,3,0 days 00:00:00.089333,0 days 00:00:30.017629,89.0,88.0,34
95,3,4096,256,128,0.5,5,0 days 00:00:00.089333,0 days 00:00:32.324257,90.0,90.0,39
96,3,4096,256,192,0.25,2,0 days 00:00:00.081539,0 days 00:00:30.811241,88.0,88.0,36
97,3,4096,256,192,0.25,3,0 days 00:00:00.081539,0 days 00:00:24.110243,89.0,88.0,30
98,3,4096,256,192,0.25,5,0 days 00:00:00.081539,0 days 00:00:20.089399,89.0,88.0,22
99,3,4096,512,128,0.75,2,0 days 00:00:00.090201,0 days 00:00:58.928981,89.0,89.0,70
100,3,4096,512,128,0.75,3,0 days 00:00:00.090201,0 days 00:00:48.047752,89.0,89.0,63
101,3,4096,512,128,0.75,5,0 days 00:00:00.090201,0 days 00:00:41.075399,88.0,87.0,66
102,3,4096,512,256,0.5,2,0 days 00:00:00.074260,0 days 00:00:30.389660,89.0,88.0,37
103,3,4096,512,256,0.5,3,0 days 00:00:00.074260,0 days 00:00:35.561058,88.0,88.0,29
104,3,4096,512,256,0.5,5,0 days 00:00:00.074260,0 days 00:00:51.941521,94.0,94.0,80
105,3,4096,512,384,0.25,2,0 days 00:00:00.070050,0 days 00:00:32.672590,89.0,89.0,36
106,3,4096,512,384,0.25,3,0 days 00:00:00.070050,0 days 00:00:22.837138,89.0,88.0,26
107,3,4096,512,384,0.25,5,0 days 00:00:00.070050,0 days 00:00:49.334129,93.0,93.0,80
108,3,4096,1024,256,0.75,2,0 days 00:00:00.076204,0 days 00:00:31.101732,86.0,85.0,42
109,3,4096,1024,256,0.75,3,0 days 00:00:00.076204,0 days 00:01:10.270209,92.0,91.0,72
110,3,4096,1024,256,0.75,5,0 days 00:00:00.076204,0 days 00:00:53.177902,95.0,95.0,80
111,3,4096,1024,512,0.5,2,0 days 00:00:00.067414,0 days 00:00:22.876652,87.0,86.0,31
112,3,4096,1024,512,0.5,3,0 days 00:00:00.067414,0 days 00:01:04.802691,93.0,93.0,80
113,3,4096,1024,512,0.5,5,0 days 00:00:00.067414,0 days 00:00:47.972983,96.0,96.0,80
114,3,4096,1024,768,0.25,2,0 days 00:00:00.065044,0 days 00:00:32.197427,89.0,88.0,32
115,3,4096,1024,768,0.25,3,0 days 00:00:00.065044,0 days 00:01:14.122438,93.0,93.0,80
