,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
146,6,512,256,64,0.75,5,0 days 00:00:00.079018,0 days 00:01:19.607637,81.0,83.0,70
147,6,512,256,128,0.5,2,0 days 00:00:00.070840,0 days 00:01:04.146327,81.0,83.0,62
148,6,512,256,128,0.5,3,0 days 00:00:00.070840,0 days 00:00:34.855288,83.0,82.0,57
149,6,512,256,128,0.5,5,0 days 00:00:00.070840,0 days 00:01:11.199846,87.0,87.0,80
150,6,512,256,192,0.25,2,0 days 00:00:00.068495,0 days 00:00:30.818237,79.0,77.0,45
151,6,512,256,192,0.25,3,0 days 00:00:00.068495,0 days 00:01:22.517628,82.0,83.0,80
152,6,512,256,192,0.25,5,0 days 00:00:00.068495,0 days 00:00:39.145690,85.0,85.0,57
153,6,512,512,128,0.75,2,0 days 00:00:00.070727,0 days 00:01:04.264045,82.0,83.0,68
154,6,512,512,128,0.75,3,0 days 00:00:00.070727,0 days 00:01:06.011448,82.0,81.0,80
155,6,512,512,128,0.75,5,0 days 00:00:00.070727,0 days 00:01:07.571403,85.0,85.0,80
156,6,512,512,256,0.5,2,0 days 00:00:00.066638,0 days 00:01:18.162941,81.0,83.0,80
157,6,512,512,256,0.5,3,0 days 00:00:00.066638,0 days 00:00:58.569397,82.0,81.0,80
158,6,512,512,256,0.5,5,0 days 00:00:00.066638,0 days 00:01:17.447370,85.0,84.0,80
159,6,512,512,384,0.25,2,0 days 00:00:00.066866,0 days 00:00:52.242881,80.0,82.0,80
160,6,512,512,384,0.25,3,0 days 00:00:00.066866,0 days 00:01:03.156830,84.0,84.0,80
161,6,512,512,384,0.25,5,0 days 00:00:00.066866,0 days 00:00:55.588273,87.0,87.0,80
162,6,1024,256,64,0.75,2,0 days 00:00:00.091510,0 days 00:00:58.814515,81.0,83.0,56
163,6,1024,256,64,0.75,3,0 days 00:00:00.091510,0 days 00:00:55.465792,80.0,81.0,46
164,6,1024,256,64,0.75,5,0 days 00:00:00.091510,0 days 00:01:25.981088,84.0,85.0,71
165,6,1024,256,128,0.5,2,0 days 00:00:00.077642,0 days 00:00:58.367570,81.0,84.0,71
166,6,1024,256,128,0.5,3,0 days 00:00:00.077642,0 days 00:01:15.651516,87.0,87.0,80
167,6,1024,256,128,0.5,5,0 days 00:00:00.077642,0 days 00:00:46.700739,83.0,81.0,56
168,6,1024,256,192,0.25,2,0 days 00:00:00.073794,0 days 00:01:02.170982,82.0,84.0,80
169,6,1024,256,192,0.25,3,0 days 00:00:00.073794,0 days 00:01:11.503797,81.0,81.0,76
170,6,1024,256,192,0.25,5,0 days 00:00:00.073794,0 days 00:01:10.487465,88.0,88.0,80
171,6,1024,512,128,0.75,2,0 days 00:00:00.078736,0 days 00:01:03.467730,82.0,82.0,77
