,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
94,3,4096,256,128,0.5,3,0 days 00:00:00.124200,0 days 00:00:58.358041,59.8,69.2,58
95,3,4096,256,128,0.5,5,0 days 00:00:00.124200,0 days 00:01:02.317820,74.4,73.4,55
96,3,4096,256,192,0.25,2,0 days 00:00:00.109358,0 days 00:00:50.248627,53.2,63.4,45
97,3,4096,256,192,0.25,3,0 days 00:00:00.109358,0 days 00:00:56.654588,50.2,64.4,53
98,3,4096,256,192,0.25,5,0 days 00:00:00.109358,0 days 00:00:52.817700,69.6,71.6,51
99,3,4096,512,128,0.75,2,0 days 00:00:00.124705,0 days 00:00:36.215346,47.6,61.6,34
100,3,4096,512,128,0.75,3,0 days 00:00:00.124705,0 days 00:01:03.202610,49.0,64.8,53
101,3,4096,512,128,0.75,5,0 days 00:00:00.124705,0 days 00:00:51.928627,51.8,65.6,46
102,3,4096,512,256,0.5,2,0 days 00:00:00.096706,0 days 00:00:54.740538,59.2,66.4,57
103,3,4096,512,256,0.5,3,0 days 00:00:00.096706,0 days 00:01:00.409252,57.6,67.6,58
104,3,4096,512,256,0.5,5,0 days 00:00:00.096706,0 days 00:00:58.793393,58.6,69.8,58
105,3,4096,512,384,0.25,2,0 days 00:00:00.089449,0 days 00:00:34.185565,36.0,59.2,34
106,3,4096,512,384,0.25,3,0 days 00:00:00.089449,0 days 00:01:11.044331,56.4,67.8,64
107,3,4096,512,384,0.25,5,0 days 00:00:00.089449,0 days 00:01:09.176200,68.4,73.4,68
108,3,4096,1024,256,0.75,2,0 days 00:00:00.096432,0 days 00:00:47.477563,60.4,67.0,49
109,3,4096,1024,256,0.75,3,0 days 00:00:00.096432,0 days 00:00:42.181321,53.4,64.8,36
110,3,4096,1024,256,0.75,5,0 days 00:00:00.096432,0 days 00:01:19.701877,66.4,72.2,70
111,3,4096,1024,512,0.5,2,0 days 00:00:00.082851,0 days 00:00:37.876907,39.8,61.0,41
112,3,4096,1024,512,0.5,3,0 days 00:00:00.082851,0 days 00:00:55.538171,56.6,66.2,51
113,3,4096,1024,512,0.5,5,0 days 00:00:00.082851,0 days 00:00:57.093844,67.0,72.2,52
114,3,4096,1024,768,0.25,2,0 days 00:00:00.077778,0 days 00:00:48.540163,57.0,66.8,48
115,3,4096,1024,768,0.25,3,0 days 00:00:00.077778,0 days 00:01:10.253687,57.6,67.6,60
116,3,4096,1024,768,0.25,5,0 days 00:00:00.077778,0 days 00:00:57.360696,68.4,72.8,55
117,3,4096,2048,512,0.75,2,0 days 00:00:00.082745,0 days 00:00:41.355826,43.6,62.6,44
118,3,4096,2048,512,0.75,3,0 days 00:00:00.082745,0 days 00:00:45.798585,56.8,67.0,41
119,3,4096,2048,512,0.75,5,0 days 00:00:00.082745,0 days 00:00:51.138067,59.8,68.6,53
120,3,4096,2048,1024,0.5,2,0 days 00:00:00.076225,0 days 00:00:39.655511,42.4,61.8,36
121,3,4096,2048,1024,0.5,3,0 days 00:00:00.076225,0 days 00:00:53.204505,51.4,64.8,48
122,3,4096,2048,1024,0.5,5,0 days 00:00:00.076225,0 days 00:00:45.094367,68.2,72.0,51
123,3,4096,2048,1536,0.25,2,0 days 00:00:00.073427,0 days 00:00:45.487207,43.8,62.8,44
124,3,4096,2048,1536,0.25,3,0 days 00:00:00.073427,0 days 00:00:56.349806,60.2,69.2,51
125,3,4096,2048,1536,0.25,5,0 days 00:00:00.073427,0 days 00:00:52.104863,70.6,73.0,51
126,3,4096,4096,1024,0.75,2,0 days 00:00:00.076286,0 days 00:00:36.074354,31.8,57.8,36
127,3,4096,4096,1024,0.75,3,0 days 00:00:00.076286,0 days 00:00:57.765542,57.4,67.4,48
128,3,4096,4096,1024,0.75,5,0 days 00:00:00.076286,0 days 00:00:50.029074,62.6,70.2,45
129,3,4096,4096,2048,0.5,2,0 days 00:00:00.073893,0 days 00:00:41.197210,56.0,66.8,38
130,3,4096,4096,2048,0.5,3,0 days 00:00:00.073893,0 days 00:01:02.164457,63.0,69.8,52
131,3,4096,4096,2048,0.5,5,0 days 00:00:00.073893,0 days 00:00:55.082074,67.6,71.4,51
132,3,4096,4096,3072,0.25,2,0 days 00:00:00.070055,0 days 00:01:07.821300,56.8,67.8,60
133,3,4096,4096,3072,0.25,3,0 days 00:00:00.070055,0 days 00:01:03.236368,53.4,66.2,59
134,3,4096,4096,3072,0.25,5,0 days 00:00:00.070055,0 days 00:00:49.810815,70.6,73.8,55
135,6,256,256,64,0.75,2,0 days 00:00:00.345735,0 days 00:00:27.327631,75.4,71.6,33
136,6,256,256,64,0.75,3,0 days 00:00:00.345735,0 days 00:00:58.168055,77.0,79.6,61
137,6,256,256,64,0.75,5,0 days 00:00:00.345735,0 days 00:00:53.036253,75.4,77.6,50
138,6,256,256,128,0.5,2,0 days 00:00:00.067829,0 days 00:00:42.028905,78.8,79.0,56
139,6,256,256,128,0.5,3,0 days 00:00:00.067829,0 days 00:00:44.626824,76.0,77.0,56
140,6,256,256,128,0.5,5,0 days 00:00:00.067829,0 days 00:00:37.854705,73.2,77.6,48
141,6,256,256,192,0.25,2,0 days 00:00:00.066580,0 days 00:00:16.943438,74.2,70.6,27
142,6,256,256,192,0.25,3,0 days 00:00:00.066580,0 days 00:00:38.863414,75.4,77.6,52
